book_id,books_count,isbn,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
16,274,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,54835,86051,285413,667485,836050
17,201,439023491,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,10492,48030,262010,687238,980309
18,376,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,6716,20413,166129,509447,1266670
19,566,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,38031,55862,202332,493922,1042394
20,239,439023513,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,30144,110498,373060,618271,738775
21,307,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,9528,31577,180210,494427,1124806
22,183,316166685,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng,3.77,1605173,62777,131188,404699,583575,479323
23,398,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,8253,42251,242345,548266,1065084
24,332,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,6676,20210,151785,494926,1195045
25,263,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,9363,22245,113646,383914,1318227
26,350,307277674,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,71345,126493,340790,539277,479387
27,275,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,7308,21516,136333,459028,1161491
28,458,140283331,William Golding,1954,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,92779,160295,425648,564916,427846
29,1937,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,57980,153179,452673,519822,489235
30,196,297859382,Gillian Flynn,2012,Gone Girl,Gone Girl,eng,4.03,512475,38874,80807,280331,616031,610476
31,183,399155341,Kathryn Stockett,2009,The Help,The Help,eng,4.45,1531753,10235,25117,134887,490754,942552
32,373,142000671,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,46630,110856,355169,532291,473795
33,220,739326228,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,23500,59033,258700,517157,559782
34,169,1612130291,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,165455,152293,252185,294976,571909
35,458,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng,3.82,1299566,74846,123614,289143,412180,504212
36,192,385732554,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,26497,59652,225326,448691,585279
37,474,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,19309,55542,262038,513366,734629
38,167,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287,44339,85429,257805,427210,493884
39,101,553588486,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,19988,28983,114092,404583,874574
40,185,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,100373,149549,310212,332191,314272
41,159,786838655,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,18303,48294,219638,435514,689365
42,1707,451529308,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US,4.04,1257121,31645,70011,250794,426280,535563
43,2568,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng,4.1,1198557,35132,64274,212294,400214,574221
44,190,553816713,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,41395,63432,176469,298259,497194
45,264,770430074,Yann Martel,2001,Life of Pi,Life of Pi,,3.88,1003228,39768,74331,218702,384164,360466
46,128,1565125606,Sara Gruen,2006,Water for Elephants,Water for Elephants,eng,4.07,1068146,16705,49832,200154,417328,424820
47,251,375831002,Markus Zusak,2005,The Book Thief,The Book Thief,eng,4.36,1159741,17892,35360,135272,377218,722056
48,507,307347974,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa,3.97,570498,28366,64289,238242,426292,419051
49,194,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,102837,160660,294207,290612,350684
50,45,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,16590,30792,139024,293222,544153
51,178,1416914285,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,34122,65349,203466,356048,582814
52,185,316160202,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,1134511,83094,124293,260763,309358,399134
53,217,375826696,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,50563,88536,240157,337943,408032
54,257,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,21764,41962,145173,299579,498001
55,515,60929871,Aldous Huxley,1932,Brave New World,Brave New World,eng,3.97,1022601,26367,60328,219895,389379,383166
56,183,031606792X,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,100994,114893,213402,267706,410714
57,125,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189,17500,45455,185631,347540,341267
58,2277,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,28467,76630,255722,344356,296316
59,180,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng,4.15,1064521,18450,41124,191415,346090,487763
60,183,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,21049,58117,218218,355925,262481
61,14,1594633665,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng,3.88,1008778,27773,73897,273817,488447,362551
62,287,679879242,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,38382,64591,198764,313147,380030
63,2498,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng,3.82,899195,46469,84084,215320,309180,346082
64,125,743454537,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,17547,42763,162573,314003,350994
65,241,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,4.06,846488,24964,45518,152442,300948,367890
66,409,446675539,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng,4.28,873981,19996,33136,116160,234290,493721
67,197,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,6509,18015,99030,295817,446694
68,128,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806,14286,38658,143440,297501,461020
69,164,7442912,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,836362,10641,44620,182131,339977,369969
70,224,812550706,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,15330,27612,103439,264207,462829
71,2618,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,29366,74142,231022,300495,248538
72,289,450040186,Stephen King,1977,The Shining,The Shining (The Shining #1),eng,4.17,791850,18487,28981,123862,277393,382158
73,161,316068047,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US,3.84,749780,44215,62501,154906,227180,288758
74,187,142402516,John Green,2005,Looking for Alaska,Looking for Alaska,eng,4.09,783470,16940,44232,147324,262932,359857
75,193,014028009X,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,28973,59309,198555,254836,212825
76,1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng,4.06,738894,18430,34699,141987,272512,311754
77,138,439244196,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng,3.93,747445,15495,43786,176946,269153,259257
78,129,307275558,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,24231,58323,192366,226675,178250
79,1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng,3.73,670326,29703,65629,183082,224120,208223
80,1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng,4.28,738757,15039,32866,114714,228440,468227
81,92,074324754X,Jeannette Walls,2005,The Glass Castle,The Glass Castle,eng,4.24,621099,7901,18922,85191,227750,298102
82,108,385486804,Jon Krakauer,1996,Into the Wild,Into the Wild,eng,3.94,647684,19229,35567,135199,248287,227095
83,525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,637412,28904,55555,153305,216378,223571
84,176,030734813X,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,15736,34222,138327,231583,230615
85,81,60256656,Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng,4.38,702332,15345,20408,76071,167542,428921
86,158,385338600,John Grisham,1989,A Time to Kill,A Time to Kill,eng,4.03,597775,12106,25938,122675,218617,229488
87,109,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,4.3,691231,7761,18539,90575,230227,360777
88,178,014241493X,John Green,2008,Paper Towns,Paper Towns,en-US,3.88,461311,14105,47183,154479,223895,215609
89,129,345418263,William Goldman,1973,The Princess Bride,The Princess Bride ,en-US,4.25,628637,12883,21641,89236,196047,338235
90,156,014038572X,S.E. Hinton,1967,The Outsiders,The Outsiders,en-US,4.06,659248,10178,34346,134244,227250,274419
91,147,385737947,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,15291,43370,150488,266698,302109
92,124,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,14586,26538,115789,216316,176072
93,1350,517189607,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,eng,4.12,639357,8005,25207,129646,243821,285570
94,555,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,eng,4.04,490565,27340,37646,87675,155809,267197
95,2303,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,eng,4.06,590014,9825,30735,129420,246892,257679
96,133,345803507,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,39079,55691,109963,140304,265079
97,2207,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,eng,3.98,618973,11756,36719,151396,246043,243825
98,209,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,4623,15781,91021,258236,279592
99,147,1612130585,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,37245,58935,114203,150906,262051
100,39,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,eng,4.02,546502,21699,33702,92590,175725,239071
101,59,349113912,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,eng,3.97,495736,19718,29034,93427,178021,194076
102,110,99408392,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,eng,4.22,620618,15392,27532,93700,167043,332394
103,1310,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,4.21,555822,10381,22482,89980,183142,295235
104,181,307265439,Cormac McCarthy,2006,The Road,The Road,eng,3.95,504793,20086,36561,100989,190823,207328
105,153,7524277,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",eng,3.63,463257,31626,78366,176061,192785,184388
106,48,,Tina Fey,2011,Bossypants,Bossypants,eng,3.94,506250,14842,31761,129390,230080,203187
107,131,446693804,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,en-US,4.15,546948,10640,24094,94327,169650,260870
108,144,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,30705,56949,156636,166927,146787
109,1319,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,eng,4.14,513407,15225,25914,87461,167385,264147
110,202,553381695,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,1788,7104,56167,221706,320000
111,98,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,3.64,501430,19453,47004,145437,183150,115538
112,168,670026603,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",eng,4.27,587647,10346,21880,91517,249474,367916
113,251,684833395,Joseph Heller,1961,Catch-22,Catch-22,en-US,3.98,563265,20639,37912,106269,186745,230950
114,172,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,eng,4.06,556518,11507,30534,107446,194448,240462
115,125,312422156,Jeffrey Eugenides,2002,Middlesex,Middlesex,en-US,3.98,488243,19329,30503,89740,171099,197327
116,2448,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,12130,34349,143659,217896,186192
117,165,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,17313,34988,119115,209745,268933
118,126,143038095,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,eng,3.9,515090,14802,30197,116748,195930,167566
119,236,038549081X,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889,13998,32561,116975,252942,267088
120,93,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,14996,42396,152024,177404,149784
121,370,,"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,eng,3.88,469836,21091,37205,108664,165477,185553
122,80,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,40802,65835,132061,153583,133217
123,11,582418275,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,5075,20119,111543,190966,160652
124,151,316098337,Emma Donoghue,2010,Room,Room,eng,4.03,511360,11020,26079,99831,217995,201402
125,1929,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4,515820,10413,32697,121040,192937,219807
126,241,340839937,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),eng,4.19,485032,13354,22778,74206,154771,260867
127,100,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,15111,25871,106453,189120,162511
128,190,1451648537,Walter Isaacson,2011,Steve Jobs,Steve Jobs,eng,4.09,560715,19680,21986,88456,203975,245159
129,275,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642,5672,15978,78714,191622,222472
130,666,684830493,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630,28645,52583,136217,186747,170136
131,381,142000663,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,eng,3.92,322321,23552,40261,103475,173589,212475
132,123,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,,3.9,449501,12360,33669,107800,155830,165040
133,1314,451528824,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,8864,19531,80256,158725,265976
134,122,1416914307,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,6646,17351,79202,179290,348071
135,175,055357342X,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,1456,4820,36418,149268,335682
136,75,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,15795,35314,120396,158451,140552
137,189,440242940,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",eng,4.2,515547,20998,27673,73126,147085,309960
138,1579,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,34813,80444,182701,165079,96209
139,155,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,14920,45434,159227,234792,217849
140,193,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,3823,14773,78387,203297,226511
141,148,804139024,Andy Weir,2012,The Martian,The Martian,eng,4.39,423344,4114,10856,49200,173861,291671
142,255,451207149,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,9248,16886,57825,148052,263882
143,139,1476746583,Anthony Doerr,2014,,All the Light We Cannot See,eng,4.31,470001,6209,14527,61020,185239,280832
144,16,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,10308,12874,47828,144203,313339
145,180,671027387,Dan Brown,2001,Deception Point,Deception Point,eng,3.67,455610,14380,45006,143182,160819,116346
146,108,316055433,Donna Tartt,2013,The Goldfinch,The Goldfinch,eng,3.87,396756,19164,35300,93459,153459,162465
147,150,1595141715,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783,15246,35668,105414,179197,235756
148,169,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,467577,11525,28287,123463,189656,139246
149,130,525421033,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527,12666,34896,122977,190793,205755
150,80,312353766,Anita Diamant,1997,The Red Tent,The Red Tent,en-US,4.16,424981,9470,19616,67878,146178,206075
151,121,786856866,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,2967,13884,91127,188988,253546
152,111,446528056,Nicholas Sparks,2006,Dear John,Dear John,en-US,4.01,441062,9683,25220,94711,145202,179965
153,125,1416914293,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,6135,20075,92626,192934,274238
154,1732,743477103,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,10551,35408,127354,183871,167642
155,453,618346260,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,3013,10264,55433,156232,307267
156,65,031232118X,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,16019,29297,104322,148507,137044
157,72,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,en-US,4.29,457475,6605,14530,66873,121751,251282
158,338,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,6236,17193,94240,178216,198862
159,92,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,2435,8093,62108,172289,292783
160,1725,192833596,Charles Dickens,1860,Great Expectations,Great Expectations,eng,3.75,459247,22811,44293,120385,170702,148996
161,470,345339738,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,2691,8008,42693,132149,324996
162,675,,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,eng,3.96,420600,10563,28920,100140,174957,169043
163,72,142311339X,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,5020,11267,58590,148498,266120
164,103,1250012570,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,eng,4.11,514312,12904,26371,94470,196224,249784
165,176,055358202X,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186,3170,18574,94401,175973,189012
166,84,525423648,Ally Condie,2010,Matched,"Matched (Matched, #1)",eng,3.68,511815,24343,53804,138030,165412,149091
167,196,747263744,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",eng,4.11,378019,9888,24944,83253,178346,221912
168,195,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,en-US,4.34,438832,5647,13612,56722,134098,259874
169,95,446547565,Nicholas Sparks,2008,The Last Song,The Last Song,en-GB,4.14,424637,7253,17803,77712,140241,195420
170,185,552151696,Dan Brown,1998,Digital Fortress,Digital Fortress,en-GB,3.6,423019,16592,47507,136196,144029,103179
171,1710,141439580,"Jane Austen, Fiona Stafford",1815,Emma,Emma,eng,3.99,459826,11386,25777,102144,178238,180404
172,1492,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina,eng,4.02,297472,11738,26945,88365,158179,187569
173,283,393312836,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,eng,3.98,431195,14741,24244,84863,163488,167055
174,134,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,eng,3.74,419539,35734,42977,84751,111923,162907
175,87,739380338,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,2098,6501,45208,133168,312535
176,7,451169514,Stephen King,1986,It,It,en-US,4.18,292592,8464,19610,75841,148672,226794
177,1714,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment,eng,4.18,380903,9477,20078,64050,137104,213966
178,246,61148512,Sylvia Plath,1963,The Bell Jar,The Bell Jar,en-US,3.98,401605,8266,23983,92408,162216,155284
179,184,7205236,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,7657,18327,73550,155775,164437
180,972,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,eng,3.99,372099,10229,25529,83698,138837,160360
181,223,679745580,Truman Capote,1965,In Cold Blood,In Cold Blood,eng,4.05,381652,10639,17836,70857,144616,157891
182,119,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,19917,43525,113352,132492,149232
183,103,1416975861,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,8364,15544,61409,140928,289514
184,242,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,eng,4.29,440743,4277,10823,64536,152003,231852
